model,origin,forecast,actual_y60,label_exit_date,training_months,training_mean_y60,trend_above_120_day_mean,calendar_target_roll_month,label_overlap_warning,forecast_error,squared_error,training_mean_squared_error,direction_correct
E1_PRICE_FORWARD_EPS,2025-04-30,0.10287117884043717,0.11039629439011844,2025-07-30,31,-0.0067143739945673955,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.007525115549681272,5.6627364036054866e-05,0.013714908649507855,True
E2_MATCHED_PRICE,2025-04-30,0.007798435246335417,0.11039629439011844,2025-07-30,31,-0.0067143739945673955,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.10259785914378303,0.010526320700887543,0.013714908649507855,True
E3_FORWARD_EPS,2025-04-30,0.0322677680854751,0.11039629439011844,2025-07-30,31,-0.0067143739945673955,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.07812852630464334,0.006104066622535347,0.013714908649507855,True
E1_PRICE_FORWARD_EPS,2025-05-30,0.04720148676488546,0.1763811454637607,2025-08-26,33,-0.00691978141408697,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.12917965869887527,0.0166873842215579,0.03359922979427806,True
E2_MATCHED_PRICE,2025-05-30,-0.003694048769280229,0.1763811454637607,2025-08-26,33,-0.00691978141408697,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.18007519423304094,0.03242707557806742,0.03359922979427806,False
E3_FORWARD_EPS,2025-05-30,-0.0032108296134763696,0.1763811454637607,2025-08-26,33,-0.00691978141408697,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.1795919750772371,0.03225327751214295,0.03359922979427806,False
E1_PRICE_FORWARD_EPS,2025-06-30,0.03920599174210699,0.16256281407035167,2025-09-23,33,-0.00691978141408697,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.12335682232824469,0.015216905614922126,0.028724350172141862,True
E2_MATCHED_PRICE,2025-06-30,-0.02167437398462943,0.16256281407035167,2025-09-23,33,-0.00691978141408697,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.1842371880549811,0.03394334146240647,0.028724350172141862,False
E3_FORWARD_EPS,2025-06-30,0.020805176739274234,0.16256281407035167,2025-09-23,33,-0.00691978141408697,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.14175763733107744,0.02009522774168928,0.028724350172141862,True
E1_PRICE_FORWARD_EPS,2025-07-31,0.009900983537241661,0.145612343297975,2025-11-03,35,-0.0027970374780893386,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.13571135976073334,0.018417573168107194,0.02202534430233486,True
E2_MATCHED_PRICE,2025-07-31,-0.052025093635290356,0.145612343297975,2025-11-03,35,-0.0027970374780893386,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.19763743693326535,0.03906055647755044,0.02202534430233486,False
E3_FORWARD_EPS,2025-07-31,0.036399541501222876,0.145612343297975,2025-11-03,35,-0.0027970374780893386,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.10921280179675213,0.011927436076296666,0.02202534430233486,True
E1_PRICE_FORWARD_EPS,2025-08-29,-0.040666305960266394,0.017147818537008863,2025-12-02,36,0.0021801342702953853,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.05781412449727526,0.003342472991386443,0.00022403157230802218,False
E2_MATCHED_PRICE,2025-08-29,-0.10345594893232464,0.017147818537008863,2025-12-02,36,0.0021801342702953853,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.1206037674693335,0.014545268727797066,0.00022403157230802218,False
E3_FORWARD_EPS,2025-08-29,0.06275335958724527,0.017147818537008863,2025-12-02,36,0.0021801342702953853,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.04560554105023641,0.0020798653744847984,0.00022403157230802218,True
E1_PRICE_FORWARD_EPS,2025-09-30,-0.02526177867794006,0.00610012620950795,2026-01-05,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.031361904887448014,0.0009835690781693357,1.7195542397221976e-07,False
E2_MATCHED_PRICE,2025-09-30,-0.08678923631552131,0.00610012620950795,2026-01-05,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.09288936252502926,0.00862843367030631,1.7195542397221976e-07,False
E3_FORWARD_EPS,2025-09-30,0.07360679205123573,0.00610012620950795,2026-01-05,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.06750666584172778,0.004557149933066696,1.7195542397221976e-07,True
E1_PRICE_FORWARD_EPS,2025-10-31,0.015474233946691616,0.02020202020202011,2026-01-28,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.004727786255328494,2.2351962876073023e-05,0.00018733996149304235,True
E2_MATCHED_PRICE,2025-10-31,-0.0665602722354349,0.02020202020202011,2026-01-28,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.08676229243745501,0.007527695389002462,0.00018733996149304235,False
E3_FORWARD_EPS,2025-10-31,0.0915849447396399,0.02020202020202011,2026-01-28,37,0.006514801291918528,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0713829245376198,0.0050955219155435225,0.00018733996149304235,True
E1_PRICE_FORWARD_EPS,2025-11-28,0.08020596637457834,0.02668962548428766,2026-03-05,38,0.010175262923656857,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.053516340890290684,0.0028639987422857988,0.0002727241707839644,True
E2_MATCHED_PRICE,2025-11-28,-0.008105894749464094,0.02668962548428766,2026-03-05,38,0.010175262923656857,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.03479552023375175,0.0012107282283374274,0.0002727241707839644,False
E3_FORWARD_EPS,2025-11-28,0.09038515071841229,0.02668962548428766,2026-03-05,38,0.010175262923656857,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.06369552523412463,0.004057119934851007,0.0002727241707839644,True
E1_PRICE_FORWARD_EPS,2025-12-31,0.08753121432046587,-0.029479406230399352,2026-04-08,39,0.010354046400922292,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.11701062055086522,0.013691485321698563,0.0015867039485317454,False
E2_MATCHED_PRICE,2025-12-31,0.002963966393141536,-0.029479406230399352,2026-04-08,39,0.010354046400922292,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.03244337262354089,0.0010525724271899224,0.0015867039485317454,False
E3_FORWARD_EPS,2025-12-31,0.07815413760826918,-0.029479406230399352,2026-04-08,39,0.010354046400922292,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.10763354383866854,0.011584979759270581,0.0015867039485317454,False
E1_PRICE_FORWARD_EPS,2026-01-30,0.08285128663259994,0.049358974358974406,2026-05-11,41,0.010490486732865793,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,0.033492312273625535,0.0011217349814340476,0.0015107593303409586,True
E2_MATCHED_PRICE,2026-01-30,0.00965430178740818,0.049358974358974406,2026-05-11,41,0.010490486732865793,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.03970467257156623,0.0015764610240152836,0.0015107593303409586,True
E3_FORWARD_EPS,2026-01-30,0.05630502458447764,0.049358974358974406,2026-05-11,41,0.010490486732865793,True,True,月度预测的60交易日标签存在重叠，不按独立样本解释,0.006946050225503236,4.8247613735213564e-05,0.0015107593303409586,True
E1_PRICE_FORWARD_EPS,2026-02-27,0.10112484323377677,0.05368555602897307,2026-05-29,41,0.010490486732865793,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.0474392872048037,0.002250485970499852,0.00186581401149551,True
E2_MATCHED_PRICE,2026-02-27,0.0070623110191832044,0.05368555602897307,2026-05-29,41,0.010490486732865793,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.046623245009789864,0.0021737269752428955,0.00186581401149551,True
E3_FORWARD_EPS,2026-02-27,0.06723396781349018,0.05368555602897307,2026-05-29,41,0.010490486732865793,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.013548411784517114,0.00018355946188284222,0.00186581401149551,True
E1_PRICE_FORWARD_EPS,2026-03-31,0.1399375608049634,0.10818584070796478,2026-07-01,42,0.010876180512661551,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.031751720096998615,0.0010081717291181456,0.00946916996732538,True
E2_MATCHED_PRICE,2026-03-31,0.029183893873836193,0.10818584070796478,2026-07-01,42,0.010876180512661551,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.07900194683412859,0.006241307603582481,0.00946916996732538,True
E3_FORWARD_EPS,2026-03-31,0.06491979165457297,0.10818584070796478,2026-07-01,42,0.010876180512661551,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.043266049053391806,0.001871951000690506,0.00946916996732538,True
E1_PRICE_FORWARD_EPS,2026-04-30,0.06822145234084001,-0.048499794492396164,2026-07-30,43,0.009937678495381064,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.11672124683323618,0.013623849462305247,0.003414938249197193,False
E2_MATCHED_PRICE,2026-04-30,0.003307869176774279,-0.048499794492396164,2026-07-30,43,0.009937678495381064,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.051807663669170445,0.0026840340148578832,0.003414938249197193,False
E3_FORWARD_EPS,2026-04-30,0.04942740097975228,-0.048499794492396164,2026-07-30,43,0.009937678495381064,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.09792719547214845,0.009589735613040372,0.003414938249197193,False
E1_PRICE_FORWARD_EPS,2026-05-29,0.06408814160850196,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E2_MATCHED_PRICE,2026-05-29,0.0016011511187567183,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E3_FORWARD_EPS,2026-05-29,0.053249051064922205,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E1_PRICE_FORWARD_EPS,2026-06-30,0.05000287509875499,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E2_MATCHED_PRICE,2026-06-30,-0.012968502543749686,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E3_FORWARD_EPS,2026-06-30,0.05400339879949125,,,45,0.01178588234865185,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E1_PRICE_FORWARD_EPS,2026-07-31,0.09943431992427179,,,47,0.012554271317125571,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E2_MATCHED_PRICE,2026-07-31,0.019771419482568185,,,47,0.012554271317125571,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
E3_FORWARD_EPS,2026-07-31,0.05105244282551855,,,47,0.012554271317125571,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,,,,
