date,variance_status,variance_fit_index,next_variance_percent_squared,forecast_annual_volatility,realized_annual_volatility20
2013-08-01,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3259901376038031
2013-08-02,NO_VIEW_NO_VARIANCE_MODEL,,,,0.32601410089267807
2013-08-05,NO_VIEW_NO_VARIANCE_MODEL,,,,0.3124798361162762
2013-08-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.31209426306315335
2013-08-07,NO_VIEW_NO_VARIANCE_MODEL,,,,0.30067249440784805
2013-08-08,NO_VIEW_NO_VARIANCE_MODEL,,,,0.24297845720199782
2013-08-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.22683576005504916
2013-08-12,NO_VIEW_NO_VARIANCE_MODEL,,,,0.244694005632858
2013-08-13,NO_VIEW_NO_VARIANCE_MODEL,,,,0.24416150532200603
2013-08-14,NO_VIEW_NO_VARIANCE_MODEL,,,,0.23748046599308628
2013-08-15,NO_VIEW_NO_VARIANCE_MODEL,,,,0.23428611305433358
2013-08-16,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2112060296904841
2013-08-19,NO_VIEW_NO_VARIANCE_MODEL,,,,0.21178210004778028
2013-08-20,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1874301004162634
2013-08-21,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18489805392954015
2013-08-22,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18513796135013297
2013-08-23,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18332365943118148
2013-08-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.17963551076965945
2013-08-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.17990184807321444
2013-08-28,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18203749405601802
2013-08-29,NO_VIEW_NO_VARIANCE_MODEL,,,,0.16172823971563602
2013-08-30,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1617141809004373
2013-09-02,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1548104208097989
2013-09-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1616160024224219
2013-09-04,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1589839633091945
2013-09-05,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1602474112456782
2013-09-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.16068602208460128
2013-09-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1774385472191859
2013-09-10,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18154567080827969
2013-09-11,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18083016624834597
2013-09-12,NO_VIEW_NO_VARIANCE_MODEL,,,,0.17415630426769785
2013-09-13,NO_VIEW_NO_VARIANCE_MODEL,,,,0.17435629343442655
2013-09-16,NO_VIEW_NO_VARIANCE_MODEL,,,,0.17624441083102355
2013-09-17,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19056355796606417
2013-09-18,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19039715491973333
2013-09-23,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19296220956259863
2013-09-24,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1953171453644523
2013-09-25,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18506393240454894
2013-09-26,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1959291193426585
2013-09-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19493547788737117
2013-09-30,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19491594883963012
2013-10-08,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19881130079656592
2013-10-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19876953233107195
2013-10-10,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19732846383505764
