拟合收盘,因子,训练均值,训练标准差,固定不同周期邻居数
2022-07-01,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-07-01,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-07-01,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-07-01,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-08-01,持仓时间对数,2.812629831617495,0.9731742603704183,5
2022-08-01,不含已付买入费用的市场涨跌,0.045617804562247614,0.07191387433765097,5
2022-08-01,不含已付买入费用的市场回撤,-0.018698809970708365,0.01935419958004132,5
2022-08-01,入场模式,1.0,1.0,5
2022-08-01,五日涨跌,-0.0016394476733186942,0.03861283671250381,5
2022-08-01,二十日涨跌,0.01786219381509234,0.06005224488634742,5
2022-08-01,一百二十日均线偏离,0.05251343613559079,0.10614215697024809,5
2022-08-01,二十日波动,0.20636719628954125,0.09808346025704169,5
2022-09-01,持仓时间对数,2.8110704398316755,0.9724223300768199,5
2022-09-01,不含已付买入费用的市场涨跌,0.038930825813848755,0.055123986833789856,5
2022-09-01,不含已付买入费用的市场回撤,-0.019186743551599293,0.019556325167735696,5
2022-09-01,入场模式,1.0,1.0,5
2022-09-01,五日涨跌,-0.002578725735368973,0.03775718581028246,5
2022-09-01,二十日涨跌,0.014541379217192637,0.056166393296668324,5
2022-09-01,一百二十日均线偏离,0.03788439778010362,0.09507124946491063,5
2022-09-01,二十日波动,0.20267774157370005,0.09688115896122748,5
2022-10-10,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2022-10-10,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2022-10-10,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2022-10-10,入场模式,1.0,1.0,5
2022-10-10,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2022-10-10,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2022-10-10,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2022-10-10,二十日波动,0.1924379142481183,0.09037717633565118,5
2022-11-01,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2022-11-01,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2022-11-01,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2022-11-01,入场模式,1.0,1.0,5
2022-11-01,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2022-11-01,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2022-11-01,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2022-11-01,二十日波动,0.1924379142481183,0.09037717633565118,5
2022-12-01,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2022-12-01,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2022-12-01,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2022-12-01,入场模式,1.0,1.0,5
2022-12-01,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2022-12-01,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2022-12-01,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2022-12-01,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-01-03,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-01-03,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-01-03,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-01-03,入场模式,1.0,1.0,5
2023-01-03,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-01-03,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-01-03,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-01-03,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-02-01,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-02-01,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-02-01,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-02-01,入场模式,1.0,1.0,5
2023-02-01,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-02-01,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-02-01,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-02-01,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-03-01,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-03-01,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-03-01,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-03-01,入场模式,1.0,1.0,5
2023-03-01,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-03-01,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-03-01,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-03-01,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-04-03,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-04-03,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-04-03,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-04-03,入场模式,1.0,1.0,5
2023-04-03,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-04-03,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-04-03,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-04-03,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-05-04,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-05-04,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-05-04,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-05-04,入场模式,1.0,1.0,5
2023-05-04,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-05-04,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-05-04,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-05-04,二十日波动,0.1924379142481183,0.09037717633565118,5
2023-06-01,持仓时间对数,2.8019973835558636,0.9753590671222689,5
2023-06-01,不含已付买入费用的市场涨跌,0.03484470368732232,0.05424976862255505,5
2023-06-01,不含已付买入费用的市场回撤,-0.01934020685334902,0.01914110300550832,5
2023-06-01,入场模式,1.0,1.0,5
2023-06-01,五日涨跌,-0.0037233246220401755,0.03622666990363359,5
2023-06-01,二十日涨跌,0.009764358260961472,0.05376157759212489,5
2023-06-01,一百二十日均线偏离,0.02317778015460124,0.07558202437275137,5
2023-06-01,二十日波动,0.1924379142481183,0.09037717633565118,5
