report_month,category,same_scope,previous_month_shares_difference_100m,previous_month_nav_difference_100m,source_url,previous_source_url
2020-09,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430377354153.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430375010941.pdf
2020-10,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430378801721.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430377354153.pdf
2020-11,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430380938938.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430378801721.pdf
2020-12,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430382494680.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430380938938.pdf
2021-01,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430384211423.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430382494680.pdf
2021-02,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430385828064.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430384211423.pdf
2021-03,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430387654435.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430385828064.pdf
2021-04,股票基金,True,13.68999999999869,19.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430389084449.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430387654435.pdf
2021-05,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430391050351.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430389084449.pdf
2021-06,股票基金,True,11.969999999999345,25.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430392535106.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430391050351.pdf
2021-07,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430393924259.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430392535106.pdf
2021-08,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430395585764.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430393924259.pdf
2021-09,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430397113673.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430395585764.pdf
2021-10,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430398613670.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430397113673.pdf
2021-11,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430399959425.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430398613670.pdf
2021-12,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430401434458.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430399959425.pdf
2022-01,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430742875479.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430401434458.pdf
2022-02,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430859647437.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430742875479.pdf
2022-03,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126431889557952.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126430859647437.pdf
2022-04,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432006145912.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126431889557952.pdf
2022-05,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432113077400.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432006145912.pdf
2022-06,股票基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432212878421.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202311/P020231126432113077400.pdf
