cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
14,2024-06-18,2024-06-17,234947.24132,-396.5999999999767,187.51248000000004,528.8000000000005,0.0,2,1,1,2024-06-20,2024-06-19,False,-1112.9124799999772,-0.0047368612363666,13.0,2024-06-18,237079.89404,-533.6000000000058,189.1612,533.6000000000005,0.0,22.0,1.0,1.0,2024-07-18,2024-07-17,False,-1256.3612000000062,-0.00529931568042642,both,evaluation,STRESS
15,2024-06-28,2024-06-27,233467.14952,1342.0,187.02112,536.8000000000005,0.0,2,1,1,2024-07-02,2024-07-01,False,618.1788799999996,0.0026478195380847066,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
16,2024-08-02,2024-08-01,232873.91231999997,-2150.399999999994,185.14944,537.6000000000005,0.0,2,1,1,2024-08-06,2024-08-05,False,-2873.1494399999947,-0.012337790057187265,14.0,2024-08-02,234260.06656,-2163.2000000000116,186.25152,540.8000000000005,0.0,2.0,1.0,1.0,2024-08-06,2024-08-05,False,-2890.251520000012,-0.012337790057187338,both,evaluation,STRESS
17,2024-08-28,2024-08-27,230873.91264,-1915.1999999999825,183.64032000000003,547.2000000000005,0.0,2,1,1,2024-08-30,2024-08-29,False,-2646.040319999983,-0.011460975775664763,15.0,2024-08-28,232224.05248,-7636.8000000000175,182.43008000000003,550.4000000000005,0.0,11.0,1.0,1.0,2024-09-12,2024-09-11,False,-8369.630080000017,-0.03604118518567684,both,evaluation,STRESS
18,2024-09-04,2024-09-03,227871.6122,273.20000000001164,182.11512,546.4000000000004,0.0,2,1,1,2024-09-06,2024-09-05,False,-455.3151199999888,-0.0019981212912136004,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
19,2024-09-25,2024-09-24,228533.57687999998,13799.399999999994,188.06424,523.2000000000005,0.0,2,1,1,2024-09-27,2024-09-26,False,13088.135759999994,0.05727007794076756,16.0,2024-09-25,224340.30024,33255.59999999998,192.47160000000002,577.7999999999934,0.0,3.0,1.0,1.0,2024-09-30,2024-09-27,False,32485.328399999988,0.14480380192612327,both,evaluation,STRESS
20,2025-04-10,2025-04-09,241583.79488,2654.399999999965,194.04928,505.6000000000005,0.0,2,1,1,2025-04-14,2025-04-11,False,1954.7507199999645,0.008091398352985274,17.0,2025-04-10,256873.90848,5039.999999999971,207.21792000000002,537.6000000000005,0.0,9.0,1.0,1.0,2025-04-23,2025-04-22,False,4295.1820799999705,0.016720974525656778,both,evaluation,STRESS
21,2025-06-03,2025-05-30,242627.012,1964.7999999999884,194.61344000000003,491.20000000000044,0.0,2,1,1,2025-06-05,2025-06-04,False,1278.9865599999878,0.005271410423172453,18.0,2025-06-03,260409.122,-2833.7000000000116,206.89964,527.2000000000005,5799.2,11.0,1.0,1.0,2025-06-18,2025-06-17,False,2231.400359999988,0.008568825634303194,both,evaluation,STRESS
22,2025-06-13,2025-06-12,244219.6488,-427.0,194.9316,487.99999999997334,0.0,2,1,1,2025-06-17,2025-06-16,False,-1109.9315999999733,-0.004544808763151302,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
23,2025-12-19,2025-12-18,243717.44800000003,11076.00000000003,199.1184,520.000000000035,0.0,14,1,1,2026-01-12,2026-01-09,False,10356.881599999995,0.04249544579180065,19.0,2025-12-19,263402.3188,12645.0,215.4708,562.000000000038,0.0,18.0,1.0,1.0,2026-01-16,2026-01-15,False,11867.529199999963,0.04505476358016011,both,evaluation,STRESS
24,2026-01-16,2026-01-15,253948.5388,-9978.100000000006,198.87956000000003,516.999999999989,6359.099999999999,7,1,1,2026-01-27,2026-01-26,False,-4334.879559999995,-0.017069913378843962,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
25,2026-05-06,2026-04-30,249494.95808,1228.7999999999884,199.80288000000002,512.0000000000346,0.0,2,1,1,2026-05-08,2026-05-07,False,516.9971199999538,0.002072174620194849,20.0,2026-05-06,275321.5846,1356.0,220.48560000000003,565.0000000000382,0.0,2.0,1.0,1.0,2026-05-08,2026-05-07,False,570.5143999999618,0.0020721746201948954,both,evaluation,STRESS
26,2026-05-13,2026-05-12,248832.9934,-251.5000000000582,198.685,502.99999999998926,0.0,2,1,1,2026-05-15,2026-05-14,False,-953.1850000000475,-0.003830621442019945,21.0,2026-05-13,274557.279,-4717.5,217.44900000000004,554.9999999999882,0.0,3.0,1.0,1.0,2026-05-18,2026-05-15,False,-5489.948999999988,-0.01999564178373136,both,evaluation,STRESS
27,2026-06-05,2026-06-04,248256.26279999997,-7322.5,195.39460000000003,504.99999999998926,0.0,2,1,1,2026-06-09,2026-06-08,False,-8022.894599999989,-0.03231698773482056,22.0,2026-06-05,269394.91488,9316.0,218.91504000000003,602.7999999999579,0.0,11.0,1.0,1.0,2026-06-23,2026-06-22,False,8494.284960000043,0.03153097735264884,both,evaluation,STRESS
28,2026-06-23,2026-06-22,240616.7082,-5013.799999999988,190.20276,520.3000000000058,0.0,2,1,1,2026-06-25,2026-06-24,False,-5724.302759999994,-0.023790129965712805,,,,,,,,,,,,,,,,left_only,evaluation,STRESS
